--;0.00%;0.00%;0B / 0B;0B / 0B;0B / 0B;044784c76ab7b ;00:36:26
great_hermann;143.38%;2.43%;191.1MiB / 7.667GiB;64.8MB / 5.6MB;12.3MB / 16.7MB;7744784c76ab7b ;00:38:21
great_hermann;96.23%;2.18%;171.4MiB / 7.667GiB;66MB / 5.75MB;12.3MB / 16.7MB;7344784c76ab7b ;00:38:23
great_hermann;161.27%;3.09%;242.6MiB / 7.667GiB;69.5MB / 5.81MB;12.3MB / 16.7MB;8744784c76ab7b ;00:38:25
great_hermann;144.12%;2.98%;234.3MiB / 7.667GiB;71.5MB / 5.98MB;12.3MB / 16.7MB;8144784c76ab7b ;00:38:27
great_hermann;141.06%;3.01%;236.6MiB / 7.667GiB;73.6MB / 6.17MB;12.3MB / 16.7MB;8244784c76ab7b ;00:38:29
great_hermann;3.58%;2.22%;174.6MiB / 7.667GiB;73.6MB / 6.22MB;12.3MB / 16.7MB;7344784c76ab7b ;00:38:31
great_hermann;141.51%;2.10%;165MiB / 7.667GiB;75.9MB / 6.4MB;12.3MB / 16.7MB;6044784c76ab7b ;00:38:33
great_hermann;50.43%;2.54%;199.3MiB / 7.667GiB;76.8MB / 6.44MB;12.3MB / 16.7MB;8644784c76ab7b ;00:38:35
great_hermann;7.02%;2.23%;174.8MiB / 7.667GiB;76.9MB / 6.49MB;12.3MB / 16.7MB;7344784c76ab7b ;00:38:37
great_hermann;138.77%;2.12%;166.4MiB / 7.667GiB;77.9MB / 6.57MB;12.3MB / 16.7MB;6444784c76ab7b ;00:38:39
great_hermann;12.32%;2.23%;175.3MiB / 7.667GiB;79MB / 6.68MB;12.3MB / 16.7MB;7344784c76ab7b ;00:38:41
great_hermann;143.10%;2.23%;175.2MiB / 7.667GiB;80.2MB / 6.77MB;12.3MB / 16.7MB;7344784c76ab7b ;00:38:43
great_hermann;19.72%;2.24%;175.6MiB / 7.667GiB;81.3MB / 6.86MB;12.3MB / 16.7MB;7344784c76ab7b ;00:38:45
great_hermann;143.31%;2.43%;191MiB / 7.667GiB;82.7MB / 6.97MB;12.3MB / 16.7MB;7944784c76ab7b ;00:38:47
great_hermann;2.76%;2.37%;186.2MiB / 7.667GiB;84.1MB / 7.07MB;12.3MB / 16.7MB;7744784c76ab7b ;00:38:49
great_hermann;2.08%;2.35%;184.5MiB / 7.667GiB;84.1MB / 7.07MB;12.3MB / 16.7MB;7644784c76ab7b ;00:38:51
great_hermann;1.32%;2.35%;184.4MiB / 7.667GiB;84.1MB / 7.07MB;12.3MB / 16.7MB;7644784c76ab7b ;00:38:53
great_hermann;138.58%;2.62%;205.5MiB / 7.667GiB;85.1MB / 7.18MB;12.3MB / 16.7MB;8244784c76ab7b ;00:38:55
great_hermann;42.49%;3.30%;259MiB / 7.667GiB;85.4MB / 7.29MB;12.3MB / 16.7MB;8244784c76ab7b ;00:38:57
great_hermann;36.31%;3.19%;250.8MiB / 7.667GiB;85.4MB / 7.3MB;12.3MB / 16.7MB;8244784c76ab7b ;00:38:59
great_hermann;46.95%;2.13%;167.1MiB / 7.667GiB;85.5MB / 7.35MB;12.3MB / 16.7MB;5844784c76ab7b ;00:39:01
great_hermann;105.43%;1.94%;152.3MiB / 7.667GiB;86.6MB / 7.42MB;12.3MB / 16.7MB;7144784c76ab7b ;00:39:03
great_hermann;104.44%;2.70%;211.7MiB / 7.667GiB;87.6MB / 7.46MB;12.3MB / 16.7MB;7944784c76ab7b ;00:39:05
great_hermann;29.76%;2.06%;162MiB / 7.667GiB;87.8MB / 7.52MB;12.3MB / 16.7MB;7244784c76ab7b ;00:39:07
great_hermann;138.73%;2.07%;162.7MiB / 7.667GiB;89.8MB / 7.7MB;12.3MB / 16.7MB;7144784c76ab7b ;00:39:09
great_hermann;131.65%;2.13%;167.6MiB / 7.667GiB;91.9MB / 7.89MB;12.3MB / 16.7MB;7144784c76ab7b ;00:39:11
great_hermann;37.11%;2.28%;179.4MiB / 7.667GiB;93.6MB / 7.99MB;12.3MB / 16.7MB;7944784c76ab7b ;00:39:13
great_hermann;8.84%;2.02%;158.7MiB / 7.667GiB;93.9MB / 8.06MB;12.3MB / 16.7MB;7144784c76ab7b ;00:39:15
great_hermann;133.48%;2.65%;207.8MiB / 7.667GiB;95.9MB / 8.18MB;12.3MB / 16.7MB;8244784c76ab7b ;00:39:17
great_hermann;139.22%;2.70%;211.7MiB / 7.667GiB;98MB / 8.37MB;12.3MB / 16.7MB;7944784c76ab7b ;00:39:19
great_hermann;143.26%;2.69%;211.4MiB / 7.667GiB;100MB / 8.55MB;12.3MB / 16.7MB;7844784c76ab7b ;00:39:21
great_hermann;141.49%;2.72%;213.4MiB / 7.667GiB;102MB / 8.72MB;12.3MB / 16.7MB;7944784c76ab7b ;00:39:23
great_hermann;3.61%;2.08%;163.4MiB / 7.667GiB;102MB / 8.79MB;12.3MB / 16.7MB;7344784c76ab7b ;00:39:25
great_hermann;138.74%;2.00%;157.1MiB / 7.667GiB;107MB / 8.97MB;12.3MB / 16.7MB;6044784c76ab7b ;00:39:27
great_hermann;81.51%;2.30%;180.8MiB / 7.667GiB;108MB / 9.1MB;12.3MB / 16.7MB;7344784c76ab7b ;00:39:29
great_hermann;129.33%;2.13%;167MiB / 7.667GiB;110MB / 9.22MB;12.3MB / 16.7MB;7244784c76ab7b ;00:39:31
great_hermann;117.22%;2.94%;231.1MiB / 7.667GiB;111MB / 9.27MB;12.3MB / 16.7MB;7744784c76ab7b ;00:39:33
great_hermann;59.80%;2.13%;167.3MiB / 7.667GiB;112MB / 9.41MB;12.3MB / 16.7MB;7244784c76ab7b ;00:39:35
great_hermann;107.24%;2.86%;224.9MiB / 7.667GiB;113MB / 9.44MB;12.3MB / 16.7MB;8144784c76ab7b ;00:39:37
great_hermann;6.96%;2.14%;167.7MiB / 7.667GiB;113MB / 9.5MB;12.3MB / 16.7MB;7244784c76ab7b ;00:39:39
great_hermann;140.89%;2.36%;185.1MiB / 7.667GiB;115MB / 9.6MB;12.3MB / 16.7MB;7344784c76ab7b ;00:39:41
great_hermann;8.66%;2.14%;168.1MiB / 7.667GiB;115MB / 9.67MB;12.3MB / 16.7MB;7244784c76ab7b ;00:39:43
great_hermann;138.62%;2.61%;205MiB / 7.667GiB;117MB / 9.79MB;12.3MB / 16.7MB;7744784c76ab7b ;00:39:45
great_hermann;8.87%;2.14%;168.4MiB / 7.667GiB;117MB / 9.84MB;12.3MB / 16.7MB;7244784c76ab7b ;00:39:47
great_hermann;139.10%;2.83%;222.5MiB / 7.667GiB;119MB / 9.96MB;12.3MB / 16.7MB;7944784c76ab7b ;00:39:49
great_hermann;118.96%;2.54%;199.1MiB / 7.667GiB;121MB / 10.1MB;12.3MB / 16.7MB;7544784c76ab7b ;00:39:51
great_hermann;83.42%;2.17%;170.5MiB / 7.667GiB;123MB / 10.3MB;12.3MB / 16.7MB;7144784c76ab7b ;00:39:53
