--;0.00%;0.00%;0B / 0B;0B / 0B;0B / 0B;0a47bf81cddc8 ;00:07:11
beautiful_borg;145.61%;2.75%;216MiB / 7.667GiB;120MB / 9.89MB;16.5MB / 57MB;64a47bf81cddc8 ;00:11:04
beautiful_borg;137.67%;3.20%;251.5MiB / 7.667GiB;123MB / 10MB;16.5MB / 57MB;95a47bf81cddc8 ;00:11:06
beautiful_borg;7.18%;2.38%;187MiB / 7.667GiB;123MB / 10.1MB;16.5MB / 57MB;75a47bf81cddc8 ;00:11:08
beautiful_borg;18.85%;2.39%;187.8MiB / 7.667GiB;124MB / 10.2MB;16.5MB / 57MB;75a47bf81cddc8 ;00:11:10
beautiful_borg;73.84%;2.39%;187.5MiB / 7.667GiB;125MB / 10.3MB;16.5MB / 57MB;75a47bf81cddc8 ;00:11:12
beautiful_borg;136.28%;2.41%;189.2MiB / 7.667GiB;127MB / 10.4MB;16.5MB / 57MB;75a47bf81cddc8 ;00:11:14
beautiful_borg;169.69%;2.28%;178.8MiB / 7.667GiB;129MB / 10.6MB;16.5MB / 57MB;62a47bf81cddc8 ;00:11:16
beautiful_borg;103.17%;2.41%;189.5MiB / 7.667GiB;130MB / 10.7MB;16.5MB / 57MB;75a47bf81cddc8 ;00:11:18
beautiful_borg;146.35%;3.20%;251.6MiB / 7.667GiB;131MB / 10.8MB;16.5MB / 57MB;84a47bf81cddc8 ;00:11:20
beautiful_borg;68.75%;2.77%;217.3MiB / 7.667GiB;133MB / 10.9MB;16.5MB / 57MB;80a47bf81cddc8 ;00:11:22
beautiful_borg;138.30%;2.83%;222.3MiB / 7.667GiB;135MB / 11.1MB;16.5MB / 57MB;83a47bf81cddc8 ;00:11:24
beautiful_borg;147.12%;2.81%;220.9MiB / 7.667GiB;137MB / 11.3MB;16.5MB / 57MB;86a47bf81cddc8 ;00:11:26
beautiful_borg;92.24%;2.43%;191.1MiB / 7.667GiB;138MB / 11.4MB;16.5MB / 57MB;76a47bf81cddc8 ;00:11:28
beautiful_borg;136.84%;3.28%;257.4MiB / 7.667GiB;142MB / 11.5MB;16.5MB / 57MB;81a47bf81cddc8 ;00:11:30
beautiful_borg;138.35%;2.97%;233.2MiB / 7.667GiB;144MB / 11.7MB;16.5MB / 57MB;82a47bf81cddc8 ;00:11:32
beautiful_borg;137.78%;2.95%;231.9MiB / 7.667GiB;146MB / 11.9MB;16.5MB / 57MB;81a47bf81cddc8 ;00:11:34
beautiful_borg;4.83%;2.43%;191.1MiB / 7.667GiB;146MB / 11.9MB;16.5MB / 57MB;71a47bf81cddc8 ;00:11:36
beautiful_borg;139.36%;2.33%;182.6MiB / 7.667GiB;148MB / 12.1MB;16.5MB / 57MB;58a47bf81cddc8 ;00:11:38
beautiful_borg;29.95%;2.60%;204.3MiB / 7.667GiB;148MB / 12.1MB;16.5MB / 57MB;72a47bf81cddc8 ;00:11:40
beautiful_borg;15.08%;2.46%;192.9MiB / 7.667GiB;149MB / 12.2MB;16.5MB / 57MB;71a47bf81cddc8 ;00:11:42
beautiful_borg;104.47%;3.12%;245.2MiB / 7.667GiB;150MB / 12.2MB;16.5MB / 57MB;76a47bf81cddc8 ;00:11:44
beautiful_borg;81.52%;2.46%;193.1MiB / 7.667GiB;151MB / 12.4MB;16.5MB / 57MB;71a47bf81cddc8 ;00:11:47
beautiful_borg;118.37%;3.26%;256.2MiB / 7.667GiB;152MB / 12.4MB;16.5MB / 57MB;82a47bf81cddc8 ;00:11:49
beautiful_borg;105.27%;2.46%;193.3MiB / 7.667GiB;153MB / 12.5MB;16.5MB / 57MB;71a47bf81cddc8 ;00:11:51
beautiful_borg;147.51%;2.34%;183.6MiB / 7.667GiB;154MB / 12.6MB;16.5MB / 57MB;58a47bf81cddc8 ;00:11:53
beautiful_borg;144.98%;2.41%;189.4MiB / 7.667GiB;156MB / 12.8MB;16.5MB / 57MB;64a47bf81cddc8 ;00:11:55
beautiful_borg;138.93%;2.48%;194.7MiB / 7.667GiB;158MB / 13MB;16.5MB / 57MB;69a47bf81cddc8 ;00:11:57
beautiful_borg;88.51%;3.13%;246MiB / 7.667GiB;159MB / 13MB;16.5MB / 57MB;76a47bf81cddc8 ;00:11:59
beautiful_borg;6.20%;2.47%;194.2MiB / 7.667GiB;159MB / 13.1MB;16.5MB / 57MB;69a47bf81cddc8 ;00:12:01
beautiful_borg;141.26%;2.37%;186.2MiB / 7.667GiB;161MB / 13.3MB;16.5MB / 57MB;58a47bf81cddc8 ;00:12:03
beautiful_borg;134.30%;2.37%;185.9MiB / 7.667GiB;163MB / 13.4MB;16.5MB / 57MB;57a47bf81cddc8 ;00:12:05
beautiful_borg;23.45%;2.54%;199.2MiB / 7.667GiB;165MB / 13.5MB;16.5MB / 57MB;70a47bf81cddc8 ;00:12:07
beautiful_borg;6.97%;2.49%;195.7MiB / 7.667GiB;166MB / 13.6MB;16.5MB / 57MB;70a47bf81cddc8 ;00:12:09
beautiful_borg;79.52%;2.97%;233MiB / 7.667GiB;168MB / 13.8MB;16.5MB / 57MB;75a47bf81cddc8 ;00:12:11
beautiful_borg;137.80%;3.03%;237.9MiB / 7.667GiB;170MB / 14MB;16.5MB / 57MB;78a47bf81cddc8 ;00:12:13
beautiful_borg;138.89%;2.94%;230.9MiB / 7.667GiB;172MB / 14.1MB;16.5MB / 57MB;75a47bf81cddc8 ;00:12:15
beautiful_borg;136.80%;2.92%;228.9MiB / 7.667GiB;174MB / 14.3MB;16.5MB / 57MB;75a47bf81cddc8 ;00:12:17
beautiful_borg;6.10%;2.52%;197.9MiB / 7.667GiB;174MB / 14.4MB;16.5MB / 57MB;70a47bf81cddc8 ;00:12:19
beautiful_borg;141.76%;3.34%;261.9MiB / 7.667GiB;178MB / 14.5MB;16.5MB / 57MB;80a47bf81cddc8 ;00:12:21
beautiful_borg;138.37%;3.31%;259.6MiB / 7.667GiB;181MB / 14.7MB;16.5MB / 57MB;78a47bf81cddc8 ;00:12:23
beautiful_borg;60.04%;2.53%;198.4MiB / 7.667GiB;182MB / 14.8MB;16.5MB / 57MB;70a47bf81cddc8 ;00:12:25
beautiful_borg;162.43%;2.54%;199MiB / 7.667GiB;183MB / 14.9MB;16.5MB / 57MB;59a47bf81cddc8 ;00:12:27
beautiful_borg;21.04%;2.54%;199.4MiB / 7.667GiB;184MB / 15MB;16.5MB / 57MB;70a47bf81cddc8 ;00:12:29
beautiful_borg;113.49%;2.54%;199.7MiB / 7.667GiB;185MB / 15.1MB;16.5MB / 57MB;70a47bf81cddc8 ;00:12:31
beautiful_borg;23.08%;2.62%;205.7MiB / 7.667GiB;185MB / 15.1MB;16.5MB / 57MB;70a47bf81cddc8 ;00:12:33
beautiful_borg;135.72%;2.43%;190.9MiB / 7.667GiB;187MB / 15.3MB;16.5MB / 57MB;62a47bf81cddc8 ;00:12:35
beautiful_borg;21.44%;2.71%;212.7MiB / 7.667GiB;187MB / 15.3MB;16.5MB / 57MB;77a47bf81cddc8 ;00:12:37
beautiful_borg;177.89%;2.42%;190.3MiB / 7.667GiB;189MB / 15.5MB;16.5MB / 57MB;61a47bf81cddc8 ;00:12:39
beautiful_borg;1.97%;2.54%;199.5MiB / 7.667GiB;189MB / 15.5MB;16.5MB / 57MB;74a47bf81cddc8 ;00:12:41
beautiful_borg;135.98%;3.23%;253.8MiB / 7.667GiB;191MB / 15.6MB;16.5MB / 57MB;85a47bf81cddc8 ;00:12:43
beautiful_borg;141.76%;3.26%;255.8MiB / 7.667GiB;193MB / 15.8MB;16.5MB / 57MB;79a47bf81cddc8 ;00:12:45
beautiful_borg;45.59%;2.56%;201MiB / 7.667GiB;194MB / 16MB;16.5MB / 57MB;74a47bf81cddc8 ;00:12:47
beautiful_borg;162.03%;2.50%;196MiB / 7.667GiB;195MB / 16MB;16.5MB / 57MB;67a47bf81cddc8 ;00:12:49
beautiful_borg;7.12%;2.57%;201.4MiB / 7.667GiB;195MB / 16MB;16.5MB / 57MB;74a47bf81cddc8 ;00:12:51
beautiful_borg;88.84%;2.84%;222.7MiB / 7.667GiB;197MB / 16.1MB;16.5MB / 57MB;83a47bf81cddc8 ;00:12:53
beautiful_borg;85.14%;3.10%;243.4MiB / 7.667GiB;198MB / 16.2MB;16.5MB / 57MB;79a47bf81cddc8 ;00:12:55
beautiful_borg;71.81%;2.84%;222.6MiB / 7.667GiB;199MB / 16.3MB;16.5MB / 57MB;82a47bf81cddc8 ;00:12:57
beautiful_borg;100.70%;3.30%;259.5MiB / 7.667GiB;201MB / 16.4MB;16.5MB / 57MB;81a47bf81cddc8 ;00:12:59
beautiful_borg;46.87%;2.83%;222MiB / 7.667GiB;201MB / 16.5MB;16.5MB / 57MB;78a47bf81cddc8 ;00:13:01
beautiful_borg;3.03%;2.58%;202.2MiB / 7.667GiB;202MB / 16.5MB;16.5MB / 57MB;74a47bf81cddc8 ;00:13:03
beautiful_borg;60.69%;2.84%;223.2MiB / 7.667GiB;202MB / 16.6MB;16.5MB / 57MB;82a47bf81cddc8 ;00:13:05
beautiful_borg;107.92%;3.25%;255.3MiB / 7.667GiB;204MB / 16.6MB;16.5MB / 57MB;76a47bf81cddc8 ;00:13:07
beautiful_borg;82.67%;3.14%;246.5MiB / 7.667GiB;205MB / 16.7MB;16.5MB / 57MB;76a47bf81cddc8 ;00:13:09
beautiful_borg;119.03%;2.46%;192.9MiB / 7.667GiB;206MB / 16.8MB;16.5MB / 57MB;56a47bf81cddc8 ;00:13:11
beautiful_borg;142.64%;3.18%;250MiB / 7.667GiB;208MB / 17MB;16.5MB / 57MB;58a47bf81cddc8 ;00:13:13
beautiful_borg;140.72%;2.60%;204.4MiB / 7.667GiB;210MB / 17.2MB;16.5MB / 57MB;58a47bf81cddc8 ;00:13:15
beautiful_borg;3.88%;2.58%;202.8MiB / 7.667GiB;210MB / 17.2MB;16.5MB / 57MB;69a47bf81cddc8 ;00:13:17
beautiful_borg;135.04%;2.47%;193.8MiB / 7.667GiB;214MB / 17.4MB;16.5MB / 57MB;56a47bf81cddc8 ;00:13:19
beautiful_borg;60.13%;2.79%;218.8MiB / 7.667GiB;216MB / 17.5MB;16.5MB / 57MB;74a47bf81cddc8 ;00:13:21
beautiful_borg;144.06%;2.60%;204.4MiB / 7.667GiB;218MB / 17.6MB;16.5MB / 57MB;69a47bf81cddc8 ;00:13:23
